Player	Caps	Goals	Club
Jakub Pešek	1	1	Slovan Liberec
Jakub Świerczok	4	1	Piast Gliwice
Jamal Musiala	2	0	Bayern Munich
James Forrest	36	5	Celtic
Jan Bednarek	30	1	Southampton
Jan Bořil	22	0	Slavia Prague
Ján Greguš	34	4	Minnesota United FC
Jan Vertonghen	126	9	Benfica
Jannik Vestergaard	22	1	Southampton
János Hahn	1	0	Paks
Jason Denayer	24	1	Lyon
Jens Cajuste	4	0	Midtjylland
Jens Stryger Larsen	35	2	Udinese
Jere Uronen	49	1	Genk
Jérémy Doku	7	2	Rennes
Jesse Joronen	14	0	Brescia
Jiří Pavlenka	14	0	Werder Bremen
Joachim Andersen	4	0	Fulham
Joakim Mæhle	9	2	Atalanta
João Cancelo	26	4	Manchester City
João Félix	17	3	Atlético Madrid
João Moutinho	130	7	Wolverhampton Wanderers
João Palhinha	4	1	Sporting CP
Joe Allen	59	2	Stoke City
Joe Morrell	15	0	Luton Town
Joe Rodon	14	0	Tottenham Hotspur
Joel Pohjanpalo	42	9	Union Berlin
Joël Veltman	27	2	Brighton & Hove Albion
John Fleck	5	0	Sheffield United
John McGinn	32	10	Aston Villa
John Stones	42	2	Manchester City
Jon McLaughlin	2	0	Rangers
Jonas Hofmann	3	0	Borussia Mönchengladbach
Jonas Lössl	1	0	Midtjylland
Jonas Omlin	2	0	Montpellier
Jonas Wind	6	3	Copenhagen
Joni Kauko	25	0	Esbjerg
Jonny Williams	28	1	Cardiff City
Joona Toivio	73	3	BK Häcken
Jordan Henderson	58	0	Liverpool
Jordan Larsson	6	1	Spartak Moscow
Jordan Lotomba	2	0	Nice
Jordan Pickford	31	0	Everton
Jordi Alba	72	8	Barcelona
Jorginho	28	5	Chelsea
José Fonte	46	0	Lille
José Gayà	14	2	Valencia
Joshua Kimmich	54	3	Bayern Munich
Josip Brekalo	23	4	VfL Wolfsburg
Josip Juranović	8	0	Legia Warsaw
Joško Gvardiol	0	0	Dinamo Zagreb
Jude Bellingham	3	0	Borussia Dortmund
Jukka Raitala	52	0	Minnesota United FC
Jules Koundé	1	0	Sevilla
Julian Baumgartlinger	83	1	Bayer Leverkusen
Juraj Kucka	82	10	Parma
Jurriën Timber	1	0	Ajax
Kaan Ayhan	37	4	Sassuolo
Kacper Kozłowski	2	0	Pogoń Szczecin
Kai Havertz	13	3	Chelsea
Kalvin Phillips	7	0	Leeds United
Kamil Glik	82	6	Benevento
Kamil Jóźwiak	13	2	Derby County
Kamil Piątkowski	2	0	Raków Częstochowa
Karim Benzema	82	27	Real Madrid
Karim Onisiwo	11	1	Mainz 05
Karl-Johan Johnsson	9	0	Copenhagen
Karol Linetty	31	2	Torino
Karol Świderski	3	1	PAOK
Kasper Dolberg	25	7	Nice
Kasper Schmeichel	64	0	Leicester City
Ken Sema	12	0	Watford
Kenan Karaman	22	5	Fortuna Düsseldorf
Kerem Aktürkoğlu	1	0	Galatasaray
Kevin De Bruyne	80	21	Manchester City
Kevin Mbabu	12	0	VfL Wolfsburg
Kevin Nisbet	2	1	Hibernian
Kevin Trapp	5	0	Eintracht Frankfurt
Kevin Varga	7	1	Kasımpaşa
Kevin Volland	11	1	Monaco
Kieffer Moore	17	5	Cardiff City
Kieran Tierney	20	0	Arsenal
Kieran Trippier	27	1	Atlético Madrid
Kingsley Coman	30	5	Bayern Munich
Kire Ristevski	47	0	Újpest
Koke	50	0	Atlético Madrid
Konrad Laimer	8	1	RB Leipzig
Kristoffer Nordfeldt	14	0	Gençlerbirliği
Kristoffer Olsson	25	0	Krasnodar
Krste Velkoski	16	0	Sarajevo
Kurt Zouma	8	1	Chelsea
Kyle Walker	55	0	Manchester City
Kylian Mbappé	43	17	Paris Saint-Germain
Lassi Lappalainen	8	0	CF Montréal
László Bénes	4	1	FC Augsburg
László Kleinheisler	33	3	Osijek
Leander Dendoncker	16	0	Wolverhampton Wanderers
Leandro Trossard	7	2	Brighton & Hove Albion
Léo Dubois	7	0	Lyon
Leo Väisänen	8	0	IF Elfsborg
Leon Goretzka	32	13	Bayern Munich
Leonardo Bonucci	102	7	Juventus
Leonardo Spinazzola	14	0	Roma
Leroy Sané	29	6	Bayern Munich
Liam Cooper	6	0	Leeds United
Loïc Négo	10	2	Fehérvár
Lorenzo Insigne	41	8	Napoli
Lorenzo Pellegrini	17	2	Roma
Loris Benito	12	1	Bordeaux
Louis Schaub	20	6	Luzern
Lovre Kalinić	19	0	Hajduk Split
Ľubomír Šatka	13	0	Lech Poznań
Lucas Digne	37	0	Everton
Lucas Hernandez	25	0	Bayern Munich
Ludwig Augustinsson	32	2	Werder Bremen
Luka Ivanušec	2	1	Dinamo Zagreb
Luka Modrić	137	17	Real Madrid
Lukáš Haraslín	14	1	Sassuolo
Lukáš Hrádecký	65	0	Bayer Leverkusen
Lukas Klostermann	13	0	RB Leipzig
Lukáš Masopust	21	1	Slavia Prague
Łukasz Fabiański	56	0	West Ham United
Łukasz Skorupski	4	0	Bologna
Luke Shaw	9	0	Manchester United
Luuk de Jong	36	8	Sevilla
Lyndon Dykes	11	2	Queens Park Rangers
Maarten Stekelenburg	58	0	Ajax
Maciej Rybus	61	2	Lokomotiv Moscow
Magomed Ozdoyev	32	4	Zenit Saint Petersburg
Maksim Mukhin	2	0	Lokomotiv Moscow
Manuel Akanji	29	0	Borussia Dortmund
Manuel Locatelli	10	1	Sassuolo
Manuel Neuer	99	0	Bayern Munich
Marcel Halstenberg	8	1	RB Leipzig
Marcel Sabitzer	49	8	RB Leipzig
Marcelo Brozović	58	6	Internazionale
Marco Bizot	1	0	AZ
Marco Friedl	3	0	Werder Bremen
Marco Verratti	40	3	Paris Saint-Germain
Marcos Llorente	5	0	Atlético Madrid
Marcus Berg	86	24	Krasnodar
Marcus Danielson	9	3	Dalian Professional
Marcus Forss	5	1	Brentford
Marcus Rashford	40	11	Manchester United
Marcus Thuram	3	0	Borussia Mönchengladbach
Marek Hamšík	126	26	IFK Göteborg
Marek Rodák	6	0	Fulham
Mário Fernandes	29	5	CSKA Moscow
Mario Gavranović	30	14	Dinamo Zagreb
Mario Pašalić	24	3	Atalanta
Marjan Radeski	17	1	Akademija Pandev
Marko Arnautović	87	26	Shanghai Port
Marlos	24	1	Shakhtar Donetsk
Marten de Roon	22	0	Atalanta
Martin Braithwaite	49	8	Barcelona
Martin Dúbravka	24	0	Newcastle United
Martin Hinteregger	54	4	Eintracht Frankfurt
Martin Koscelník	4	0	Slovan Liberec
Martin Valjent	9	0	Mallorca
Mason Mount	16	4	Chelsea
Matěj Vydra	36	6	Burnley
Mateo Kovačić	66	3	Chelsea
Mateusz Klich	31	2	Leeds United
Mathias Jensen	5	1	Brentford
Mathias Jørgensen	35	2	Copenhagen
Mats Hummels	71	5	Borussia Dortmund
Matthew Smith	14	0	Doncaster Rovers
Matthias Ginter	39	2	Borussia Mönchengladbach
Matthijs de Ligt	27	2	Juventus
Mattias Svanberg	9	1	Bologna
Matvei Safonov	1	0	Krasnodar
Matz Sels	1	0	Strasbourg
Memphis Depay	63	25	Lyon
Merih Demiral	21	0	Juventus
Mert Günok	22	0	İstanbul Başakşehir
Mert Müldür	8	0	Sassuolo
Michael Gregoritsch	25	4	FC Augsburg
Michael Krmenčík	29	9	PAOK
Michal Ďuriš	55	7	Omonia
Michał Helik	3	0	Barnsley
Michal Sadílek	1	0	Slovan Liberec
Michy Batshuayi	34	22	Crystal Palace
Mikael Lustig	90	6	AIK
Mike Maignan	1	0	Lille
Mikel Oyarzabal	13	4	Real Sociedad
Mikkel Damsgaard	3	2	Sampdoria
Milan Badelj	55	2	Genoa
Milan Ristovski	1	1	Spartak Trnava
